Date,Open,High,Low,Close,Adj Close,Volume,SMA_2_3,EMA_2_3,BB_UB_5,BB_MB_5,BB_LB_5,STOCHA_D,STOCHA_K,FSMA_10
2000-01-03,148.25,148.25,143.875,145.4375,99.39449310302734,8164300,,,,,,,,
2000-01-04,143.53125,144.0625,139.640625,139.75,95.50753021240234,8089800,,,,,,,,-0.013429308122045552
2000-01-05,139.9375,141.53125,137.25,140.0,95.67839050292969,12177900,0.01325588322907351,0.0024563893034522527,,,,,,0.03190966010733449
2000-01-06,139.625,141.5,137.75,137.75,94.14071655273438,6227200,0.002100210021002032,0.003829257935658,,,,,,0.033459821428571346
2000-01-07,140.3125,145.75,140.0625,145.75,99.6080551147461,8066500,-0.004115226337448627,-0.005854665272975577,148.22807008281922,141.7375,135.2469299171808,,,0.05519509981851184
2000-01-10,146.25,146.90625,145.03125,146.25,99.9497528076172,5741700,-0.018835616438356163,-0.0059899408280137765,148.78186021363416,141.9,135.01813978636585,,,-0.006432246998284734
2000-01-11,145.8125,146.09375,143.5,144.5,98.75373840332031,7503700,0.0008598452278589854,-0.0020837132914292944,149.59240313241548,142.85,136.1075968675845,,,-0.012777777777777817
2000-01-12,144.59375,144.59375,142.875,143.0625,97.7713394165039,6907700,0.005723393465188661,0.0009083795572837482,149.58602022941034,143.4625,137.33897977058967,,,-0.0033737024221454073
2000-01-13,144.46875,145.75,143.28125,145.0,99.09547424316406,5158300,0.0010848340203948796,-0.0011202186400211989,147.11987400546388,144.9125,142.7051259945361,75.23447634027566,68.41583422867606,0.004674530362603678
2000-01-14,146.53125,147.46875,145.96875,146.96875,100.44094848632812,7437300,-0.0066716614934532745,-0.003311072934633409,147.88686348418315,145.15625,142.42563651581685,72.3150014379339,73.09408093188809,-0.015043103448275901
2000-01-18,145.34375,146.625,145.1875,145.8125,99.6507568359375,6488500,-0.00316647098587534,-0.0012606714579430271,147.67894635276747,145.06875,142.45855364723252,72.19300985477219,75.06911440375238,-0.03327663193706145
2000-01-19,145.3125,147.0,145.0,147.0,100.46232604980469,6157900,0.0012806830309498398,-0.00184410704126022,148.4907570157353,145.56875,142.64674298426468,76.37185876267382,80.95238095238096,-0.028954136305186534
2000-01-20,146.96875,146.96875,143.8125,144.75,98.92461395263672,5800100,-0.00014281633818915377,0.001239216286034695,147.80196886101288,145.90625,144.01053113898712,72.98673439252347,62.93870782143704,-0.04083758503401368
2000-01-21,145.5,145.5,144.0625,144.4375,98.71105194091795,6244800,0.005547150781644039,0.0017083334778846438,147.94127764825436,145.79375,143.64622235174562,63.737536516498864,47.32152077567857,-0.027007772020725466
2000-01-24,145.65625,145.84375,139.40625,140.34375,95.91336059570312,7896900,0.005523245180877202,0.00605216285020436,148.9684027643805,144.46875,139.9690972356195,43.92166764037571,21.504774324011482,-0.02617914322803981
2000-01-25,140.515625,141.9375,139.0,141.9375,97.00255584716795,9942500,0.0077862651758368135,0.0028782276731966336,148.33332163971085,143.69375,139.05417836028914,30.293036822825893,22.052815368787606,0.003674014696058784
2000-01-26,141.0,141.546875,140.09375,140.8125,96.23367309570312,5158100,-0.002431476569407604,0.0027256572865995564,146.10265233654832,142.45625,138.8098476634517,22.49803290332875,23.936509017187138,-0.005922501100836555
